iter	MAE
238	56.18934416
239	56.18910805
240	56.18761437
241	56.1863379
242	56.18623215
243	56.17058286
244	56.17038636
245	56.16688066
246	56.16672062
247	56.16657026
248	56.16641304
249	56.16631409
250	56.16622933
251	56.16597081
252	56.16512126
253	56.16433391
254	56.16408556
255	56.16400424
256	56.16399091
257	56.16363035
258	56.15708621
259	56.15706546
260	56.15693035
261	56.15573496
262	56.15558131
263	56.15551749
264	56.15516775
265	56.15486694
266	56.13520985
267	56.13380484
268	56.13257894
269	56.13254478
270	56.13249256
271	56.13237689
272	56.13214168
273	56.13203936
274	56.13194109
275	56.13184561
276	56.13175509
277	56.13169732
278	56.13164357
279	56.13149237
280	56.13147006
281	56.13142191
282	56.13134681
283	56.12956641
284	56.12709855
285	56.12704641
286	56.12425888
287	56.11667047
288	56.11220491
289	56.1004036
290	56.08846262
291	56.05601279
292	56.04353932
293	56.04066597
294	56.03020688
295	56.0208963
296	56.01407553
297	55.98894147
298	55.97967168
299	55.97603063
300	55.962052
301	55.95583276
302	55.95167112
303	55.95049264
304	55.94628394
305	55.94530371
306	55.94388207
307	55.94017518
308	55.93817748
309	55.93364707
310	55.93117972
311	55.92813378
312	55.92475095
313	55.92447432
314	55.92357229
315	55.92275967
316	55.92249934
317	55.89637113
318	55.89135986
319	55.85973413
320	55.84143857
321	55.83260514
322	55.82462414
323	55.79330473
324	55.7931332
325	55.79234251
326	55.76170867
327	55.75919839
328	55.75602412
329	55.75591453
330	55.75568932
331	55.74707072
332	55.74616526
333	55.73135936
334	55.72097711
335	55.71208832
336	55.71106492
337	55.71020333
338	55.6903881
339	55.68998667
340	55.68972146
341	55.68922571
342	55.68877499
343	55.68840973
344	55.6880383
345	55.68791071
346	55.68781757
347	55.68773447
348	55.6792133
349	55.67911614
350	55.67042862
351	55.65117978
352	55.63717525
353	55.61800598
354	55.6113398
355	55.61029402
356	55.6032386
357	55.60227314
358	55.5982295
359	55.58610814
360	55.58243674
361	55.5677852
362	55.56545012
363	55.56290536
364	55.55134733
365	55.55013369
366	55.54582817
367	55.54043989
368	55.53545289
369	55.5224151
370	55.50315329
371	55.50251504
372	55.49879674
373	55.47026979
374	55.46135816
375	55.45894305
376	55.4508877
377	55.44416802
378	55.43805491
379	55.43635855
380	55.43572898
381	55.43413663
382	55.43369491
383	55.42132282
384	55.42091041
385	55.40943649
386	55.40907388
387	55.40865471
388	55.40792339
389	55.40650536
390	55.40584816
391	55.40544011
392	55.39818059
393	55.39633314
394	55.39623616
395	55.39608092
396	55.3943844
397	55.39309673
398	55.3704651
399	55.36567574
400	55.36492615
401	55.35392512
402	55.34191964
403	55.34031003
404	55.33886232
405	55.33754568
406	55.33569635
407	55.33450137
408	55.32813739
409	55.30715872
410	55.27776179
411	55.26219881
412	55.25344743
413	55.24135589
414	55.24034384
415	55.23943198
416	55.22694611
417	55.22079567
418	55.21349999
419	55.21056635
420	55.20350642
421	55.19712895
422	55.19686332
423	55.19302217
424	55.19265039
425	55.19112296
426	55.1906574
427	55.19022261
428	55.18981691
429	55.18941769
430	55.1875735
431	55.18629916
432	55.18608971
433	55.18496125
434	55.1828463
435	55.17822904
436	55.17133131
437	55.1702918
438	55.17028667
439	55.16182251
440	55.16150488
441	55.15372286
442	55.15270675
443	55.14792181
444	55.14013557
445	55.13312006
446	55.12697832
447	55.12624887
448	55.10983916
449	55.10569238
450	55.10276875
451	55.10267867
452	55.09716021
453	55.09278787
454	55.08886789
455	55.08875801
456	55.08868583
457	55.08861173
458	55.0847369
459	55.08105939
460	55.07978914
461	55.07820875
462	55.07815651
463	55.07811094
464	55.07806968
465	55.0780335
466	55.07691306
467	55.07688207
468	55.07684865
469	55.07660931
470	55.07597779
471	55.07595597
472	55.07593859
473	55.0741679
474	55.07395754
475	55.07328669
476	55.07177535
477	55.07137302
478	55.07134446
479	55.06151401
480	55.06148463
481	55.06063785
482	55.05978563
483	55.05975245
484	55.05898332
485	55.05891797
486	55.05821642
487	55.05757781
488	55.0510396
489	55.04513975
490	55.04458094
491	55.04408354
492	55.04348305
493	55.04347659
494	55.04074191
495	55.03826722
496	55.03813952
497	55.03590172
498	55.03407691
499	55.03395839
500	55.02273316
501	55.02096924
502	55.01925694
503	55.01770519
504	55.01745372
505	55.01728556
506	55.01128966
507	55.01011091
508	55.00904638
509	55.00790853
510	55.00749201
511	55.00196584
512	54.99960799
513	54.99148354
514	54.98511549
515	54.9782275
516	54.97199377
517	54.95019513
518	54.9305763
519	54.91195332
520	54.89504533
521	54.87955507
522	54.8655747
523	54.85291525
524	54.84569478
525	54.83438652
526	54.82761894
527	54.82308068
528	54.8214593
529	54.81235879
530	54.81120426
531	54.80415448
532	54.80140634
533	54.79724416
534	54.79168556
535	54.78923851
536	54.78853282
537	54.7881503
538	54.78788037
539	54.78530953
540	54.78528499
541	54.78527186
542	54.78501493
543	54.78490354
544	54.78467888
545	54.78447381
546	54.78428764
547	54.78411576
548	54.78395257
549	54.78381134
550	54.78368219
551	54.78279447
552	54.78250185
553	54.78223761
554	54.78131051
555	54.77967886
556	54.77937099
557	54.77847935
558	54.77736267
559	54.7667665
560	54.76196663
561	54.75922997
562	54.75701921
563	54.75223587
564	54.75193162
565	54.74671378
566	54.74582908
567	54.74577433
568	54.74574852
569	54.74572485
570	54.74570312
571	54.74568309
572	54.74566449
573	54.74564708
574	54.74563087
575	54.74407808
576	54.74402646
577	54.74401018
578	54.74133404
579	54.73775303
580	54.73743055
581	54.73714066
582	54.73612367
583	54.73527597
584	54.73507203
585	54.73258537
586	54.73218384
587	54.73185706
588	54.73156672
589	54.73054265
590	54.72796532
591	54.72715495
592	54.72418119
593	54.72163582
594	54.71910154
595	54.71682505
596	54.71468763
597	54.71276306
598	54.71095635
599	54.70777376
600	54.70488934
601	54.70228371
602	54.69992889
603	54.69779968
604	54.6958683
605	54.69412412
606	54.69254568
607	54.69111626
608	54.68821793
609	54.68700343
610	54.68375507
611	54.67723624
612	54.65781061
613	54.65492099
614	54.64812401
615	54.64124991
616	54.63503154
617	54.6289674
618	54.62336601
619	54.61971335
620	54.60381579
621	54.59755528
622	54.59241189
623	54.58763439
624	54.58316353
625	54.57143814
626	54.56380615
627	54.55628695
628	54.54552704
629	54.53536833
630	54.52426102
631	54.51091039
632	54.4918673
633	54.4746711
634	54.46010309
635	54.45342722
636	54.44957687
637	54.4387302
638	54.43727937
639	54.4330303
640	54.43177326
641	54.42044326
642	54.41933099
643	54.41921364
644	54.41765624
645	54.41666092
646	54.4103363
647	54.40946694
648	54.39886446
649	54.39308641
650	54.38905468
651	54.38475171
652	54.38205051
653	54.37917234
654	54.3700969
655	54.36118057
656	54.34759608
657	54.338841
658	54.33093082
659	54.3295583
660	54.32695334
661	54.32579294
662	54.31891085
663	54.31564224
664	54.31480586
665	54.31194191
666	54.31124732
667	54.29459396
668	54.29067371
669	54.27837211
670	54.27832085
671	54.27827454
672	54.27793709
673	54.2715317
674	54.27104564
675	54.27071726
676	54.27032845
677	54.27027973
678	54.26966054
679	54.26962113
680	54.26325582
681	54.25772113
682	54.25275819
683	54.24817034
684	54.24815912
685	54.24392966
686	54.24223712
687	54.24033455
688	54.24032311
689	54.22538687
690	54.22466106
691	54.22464907
692	54.22461044
693	54.22457407
694	54.22442736
695	54.22300538
696	54.22212034
697	54.22209616
698	54.22176699
699	54.22119324
700	54.21618847
701	54.21350982
702	54.21109013
703	54.21059552
704	54.21036763
705	54.20790431
706	54.19882465
707	54.19880586
708	54.19787024
709	54.19603339
710	54.19469211
711	54.19403984
712	54.19295427
713	54.18988402
714	54.18734512
715	54.1871968
716	54.18200544
717	54.17140642
718	54.16707819
719	54.16703328
720	54.16701934
721	54.16697988
722	54.16696145
723	54.16694563
724	54.16691037
725	54.16690488
726	54.16686706
727	54.16684997
728	54.16674136
729	54.16661089
730	54.16557422
731	54.16546397
732	54.16480249
733	54.16479291
734	54.16457449
735	54.16216848
736	54.16184841
737	54.16180832
738	54.16177905
739	54.1617525
740	54.16172879
741	54.16056211
742	54.15887596
743	54.157342
744	54.15583224
745	54.15445768
746	54.14077649
747	54.13244955
748	54.1324174
749	54.13231072
750	54.1302484
751	54.13023035
752	54.13022781
753	54.13022245
754	54.13022209
755	54.12542177
756	54.12537797
757	54.12012828
758	54.12008851
759	54.12008773
760	54.12008681
761	54.11942169
762	54.11938478
763	54.11938055
764	54.11933468
765	54.11931672
766	54.11908294
767	54.11908022
768	54.11907943
769	54.11907923
770	54.11906464
771	54.11899484
772	54.11899268
773	54.11898708
774	54.11897115
775	54.11896599
776	54.11896362
777	54.11895929
778	54.11887751
779	54.11886867
780	54.11886824
781	54.11886302
782	54.11857981
783	54.11831096
784	54.11813117
785	54.11799369
786	54.11740488
787	54.11689988
788	54.11687298
789	54.11684435
790	54.1167594
791	54.11568221
792	54.11509318
793	54.11456189
794	54.11447242
795	54.11446014
796	54.10967188
797	54.10960057
798	54.10953628
799	54.10945405
800	54.1094046
801	54.10938594
802	54.1093796
803	54.10882254
804	54.10822235
805	54.10821402
806	54.10821259
807	54.10821211
808	54.1082063
809	54.10820574
810	54.10811073
811	54.10704585
812	54.10701304
813	54.10693829
814	54.10639363
815	54.10587268
816	54.10542693
817	54.10394616
818	54.10388537
819	54.1025461
820	54.10239868
821	54.10226489
822	54.10066871
823	54.10054797
824	54.10043772
825	54.1003376
826	54.10032928
827	54.10029899
828	54.10029496
829	54.10028191
830	54.09340076
831	54.09299476
832	54.09155626
833	54.0911878
834	54.09117934
835	54.09116635
836	54.09116479
837	54.09115789
838	54.09115298
839	54.0799475
840	54.07991361
841	54.07636784
842	54.07629788
843	54.07628002
844	54.07625617
845	54.07624965
846	54.07008186
847	54.07000097
848	54.06999633
849	54.06932503
850	54.06932063
851	54.06929011
852	54.06928874
853	54.06714082
854	54.0671146
855	54.06680333
856	54.06677954
857	54.06661039
858	54.06612719
859	54.06612417
860	54.06612148
861	54.06602454
862	54.06597624
863	54.06545926
864	54.06290691
865	54.06290292
866	54.06284346
867	54.06283944
868	54.06283943
869	54.06275891
870	54.06268404
871	54.06268342
872	54.06261518
873	54.05743312
874	54.05736818
875	54.05714149
876	54.05708235
877	54.05687504
878	54.05305804
879	54.05304959
880	54.05296452
881	54.05288865
882	54.0510117
883	54.05086538
884	54.05086391
885	54.04675146
886	54.04667643
887	54.04666839
888	54.04665957
889	54.04581378
890	54.04023294
891	54.03541751
892	54.03540538
893	54.0353865
894	54.03081149
895	54.03080303
896	54.03079411
897	54.02892697
898	54.02781179
899	54.02360537
900	54.01940939
901	54.01548056
902	54.01195998
903	54.00903116
904	54.00638791
905	54.00381352
906	54.00336579
907	54.00295906
908	54.00273588
909	54.00272919
910	54.00272294
911	54.00222563
912	53.99770435
913	53.99769575
914	53.99741648
915	53.99582218
916	53.99425789
917	53.99155965
918	53.98856499
919	53.98492915
920	53.98236036
921	53.98098444
922	53.97998485
923	53.97783054
924	53.9758834
925	53.97299909
926	53.97126455
927	53.96970297
928	53.96825467
929	53.96699384
930	53.96614565
931	53.96538579
932	53.96469804
933	53.96407576
934	53.96351465
935	53.96301009
936	53.96255251
937	53.96213841
938	53.96090149
939	53.96055886
940	53.96025094
941	53.95997127
942	53.95971816
943	53.9594895
944	53.95928091
945	53.9590928
946	53.95892054
947	53.9587641
948	53.95862288
949	53.95848179
950	53.95848155
951	53.95839498
952	53.95837539
953	53.95550612
954	53.95549352
955	53.95548972
956	53.9554892
957	53.95146412
958	53.95134782
959	53.95124114
960	53.95123009
961	53.94974218
962	53.94973224
963	53.94972813
964	53.94971882
965	53.94957103
966	53.94935926
967	53.94882251
968	53.94868527
969	53.94779521
970	53.94627048
971	53.94488772
972	53.9436384
973	53.94085453
974	53.93809404
975	53.93777019
976	53.93446386
977	53.93347844
978	53.93322151
979	53.93162462
980	53.92942801
981	53.92901444
982	53.92880303
983	53.92843153
984	53.92809157
985	53.9275805
986	53.92747648
987	53.92747626
988	53.92747273
989	53.92747272
990	53.92720049
991	53.92702661
992	53.92702388
993	53.92695443
994	53.92695229
995	53.92694039
996	53.92693305
997	53.9269253
998	53.92692471
999	53.92680813
