iter	Passed	Remaining
398	95660	144090
399	95963	143944
400	96233	143749
401	96527	143590
402	96790	143384
403	97051	143175
404	97298	142944
405	97553	142726
406	97818	142521
407	98081	142314
408	98334	142092
409	98594	141880
410	98840	141647
411	99131	141479
412	99403	141283
413	99649	141050
414	99918	140848
415	100177	140633
416	100436	140419
417	100699	140208
418	100952	139984
419	101208	139764
420	101473	139556
421	101725	139330
422	102002	139138
423	102259	138918
424	102523	138707
425	102771	138475
426	103038	138269
427	103302	138058
428	103565	137846
429	103826	137630
430	104085	137412
431	104338	137185
432	104603	136975
433	104856	136748
434	105133	136552
435	105377	136314
436	105627	136083
437	105879	135854
438	106153	135653
439	106402	135420
440	106676	135220
441	106916	134975
442	107184	134766
443	107445	134549
444	107702	134325
445	107979	134126
446	108251	133922
447	108516	133707
448	108807	133525
449	109063	133299
450	109339	133098
451	109612	132892
452	109862	132659
453	110115	132429
454	110381	132215
455	110633	131984
456	110952	131831
457	111219	131617
458	111483	131399
459	111728	131159
460	111985	130932
461	112258	130725
462	112548	130536
463	112807	130311
464	113080	130103
465	113341	129880
466	113599	129654
467	113885	129459
468	114161	129253
469	114442	129052
470	114713	128839
471	114988	128630
472	115272	128432
473	115561	128239
474	115846	128040
475	116109	127818
476	116365	127587
477	116625	127361
478	116914	127165
479	117175	126939
480	117434	126712
481	117690	126480
482	117958	126261
483	118218	126034
484	118516	125846
485	118767	125610
486	119032	125387
487	119288	125155
488	119590	124971
489	119864	124756
490	120130	124534
491	120376	124291
492	120645	124071
493	120910	123847
494	121188	123636
495	121431	123390
496	121705	123175
497	121973	122952
498	122233	122723
499	122492	122492
500	122780	122289
501	123030	122050
502	123291	121820
503	123536	121575
504	123856	121404
505	124151	121207
506	124398	120963
507	124649	120723
508	124925	120508
509	125212	120302
510	125481	120079
511	125728	119834
512	125982	119597
513	126232	119356
514	126482	119114
515	126735	118875
516	127000	118648
517	127247	118403
518	127503	118167
519	127762	117934
520	128011	117691
521	128272	117460
522	128521	117217
523	128782	116986
524	129032	116743
525	129306	116523
526	129577	116299
527	129828	116059
528	130091	115828
529	130342	115586
530	130590	115342
531	130835	115095
532	131111	114876
533	131376	114646
534	131638	114414
535	131898	114181
536	132134	113925
537	132382	113681
538	132646	113450
539	132886	113199
540	133141	112960
541	133390	112717
542	133651	112483
543	133934	112268
544	134189	112029
545	134437	111784
546	134679	111535
547	134931	111294
548	135191	111058
549	135438	110813
550	135700	110579
551	135946	110333
552	136205	110097
553	136445	109845
554	136704	109609
555	136975	109383
556	137225	109139
557	137495	108912
558	137749	108671
559	138015	108440
560	138309	108231
561	138586	108008
562	138834	107763
563	139127	107552
564	139388	107316
565	139642	107075
566	139909	106844
567	140206	106636
568	140461	106395
569	140705	106145
570	140963	105908
571	141238	105681
572	141484	105434
573	141724	105182
574	141972	104936
575	142234	104700
576	142491	104460
577	142736	104212
578	142961	103949
579	143215	103707
580	143479	103473
581	143732	103230
582	144015	103009
583	144280	102774
584	144536	102534
585	144782	102286
586	145034	102043
587	145309	101815
588	145587	101589
589	145843	101349
590	146101	101108
591	146362	100871
592	146618	100630
593	146870	100386
594	147125	100144
595	147388	99907
596	147633	99659
597	147889	99417
598	148141	99172
599	148411	98941
600	148651	98689
601	148894	98438
602	149143	98192
603	149400	97951
604	149651	97706
605	149920	97473
606	150186	97237
607	150468	97012
608	150731	96775
609	150969	96521
610	151243	96290
611	151534	96071
612	151802	95836
613	152060	95595
614	152307	95346
615	152561	95103
616	152816	94860
617	153075	94619
618	153341	94383
619	153607	94146
620	153875	93910
621	154162	93687
622	154435	93454
623	154707	93220
624	154974	92984
625	155218	92734
626	155483	92496
627	155762	92267
628	156014	92021
629	156279	91783
630	156531	91537
631	156785	91293
632	157050	91054
633	157327	90823
634	157578	90576
635	157834	90333
636	158094	90091
