iter	Passed	Remaining
169	593	2899
170	597	2894
171	599	2887
172	602	2882
173	605	2876
174	609	2872
175	612	2866
176	615	2863
177	619	2858
178	622	2855
179	625	2851
180	628	2845
181	632	2842
182	635	2839
183	639	2836
184	643	2834
185	646	2830
186	650	2827
187	653	2821
188	656	2817
189	659	2813
190	663	2809
191	666	2805
192	670	2802
193	673	2797
194	676	2791
195	679	2786
196	682	2780
197	685	2777
198	688	2771
199	692	2768
200	695	2764
201	698	2760
202	701	2755
203	704	2750
204	708	2748
205	712	2745
206	715	2742
207	719	2738
208	722	2735
209	727	2735
210	731	2734
211	734	2730
212	737	2725
213	741	2721
214	745	2720
215	748	2718
216	756	2729
217	763	2737
218	770	2747
219	776	2754
220	781	2755
221	785	2751
222	788	2749
223	792	2745
224	796	2742
225	800	2740
226	805	2743
227	808	2738
228	813	2737
229	816	2732
230	820	2731
231	823	2726
232	827	2724
233	831	2721
234	835	2719
235	838	2715
236	842	2712
237	846	2710
238	850	2706
239	853	2703
240	857	2701
241	861	2698
242	865	2697
243	869	2693
244	873	2691
245	876	2688
246	880	2684
247	884	2682
248	888	2679
249	892	2677
250	896	2674
251	900	2672
252	903	2668
253	908	2667
254	912	2666
255	916	2663
256	920	2661
257	923	2657
258	927	2653
259	931	2651
260	934	2646
261	938	2643
262	942	2639
263	945	2636
264	949	2632
265	952	2628
266	956	2625
267	959	2621
268	964	2620
269	967	2616
270	971	2613
271	974	2609
272	993	2645
273	997	2643
274	1001	2639
275	1005	2636
276	1008	2632
277	1012	2630
278	1016	2626
279	1019	2622
280	1023	2618
281	1026	2614
282	1030	2610
283	1033	2605
284	1037	2602
285	1041	2599
286	1044	2595
287	1048	2591
288	1051	2588
289	1055	2584
290	1058	2579
291	1062	2576
292	1066	2573
293	1070	2569
294	1073	2566
295	1077	2561
296	1080	2557
297	1084	2553
298	1088	2551
299	1091	2546
300	1095	2543
301	1098	2539
302	1102	2535
303	1105	2531
304	1109	2528
305	1113	2524
306	1116	2520
307	1120	2517
308	1123	2512
309	1127	2509
310	1131	2507
311	1135	2503
312	1138	2499
313	1142	2496
314	1146	2492
315	1150	2490
316	1153	2486
317	1157	2482
318	1161	2478
319	1165	2475
320	1168	2471
321	1172	2468
322	1175	2463
323	1178	2459
324	1183	2457
325	1187	2454
326	1190	2450
327	1194	2447
328	1198	2444
329	1202	2441
330	1206	2439
331	1210	2436
332	1215	2433
333	1219	2432
334	1223	2429
335	1227	2426
336	1231	2422
337	1235	2419
338	1239	2416
339	1243	2412
340	1247	2410
341	1251	2407
342	1254	2403
343	1258	2399
344	1262	2396
345	1265	2392
346	1269	2388
347	1272	2385
348	1276	2381
349	1280	2377
350	1283	2372
351	1286	2367
352	1289	2363
353	1294	2361
354	1297	2358
355	1301	2353
356	1304	2350
357	1308	2345
358	1311	2341
359	1315	2338
360	1318	2334
361	1323	2332
362	1327	2328
363	1330	2324
364	1334	2321
365	1338	2318
366	1341	2314
367	1345	2310
368	1349	2307
369	1353	2304
370	1356	2300
371	1361	2297
372	1365	2295
373	1368	2290
374	1371	2286
375	1375	2282
376	1379	2278
377	1383	2275
378	1386	2271
379	1390	2268
380	1393	2264
381	1397	2261
382	1400	2256
383	1404	2253
384	1408	2249
385	1411	2245
386	1416	2243
387	1419	2239
388	1423	2236
389	1427	2232
390	1430	2228
391	1435	2225
392	1439	2222
393	1443	2219
394	1446	2216
395	1450	2212
396	1454	2208
397	1457	2204
398	1460	2200
399	1463	2195
400	1468	2193
401	1471	2189
402	1475	2185
403	1479	2182
404	1482	2178
405	1486	2175
406	1490	2171
407	1494	2168
408	1498	2165
409	1502	2161
410	1505	2157
411	1509	2154
412	1513	2151
413	1517	2147
414	1520	2144
415	1524	2140
416	1529	2138
417	1532	2134
418	1536	2131
419	1540	2127
420	1544	2124
421	1548	2120
422	1552	2117
423	1555	2113
424	1559	2110
425	1563	2106
426	1567	2103
427	1571	2099
428	1574	2096
429	1578	2091
430	1581	2087
431	1584	2083
432	1587	2079
433	1592	2076
434	1595	2072
435	1599	2069
436	1602	2065
437	1606	2061
438	1609	2056
439	1613	2053
440	1616	2049
441	1620	2046
442	1624	2042
443	1628	2038
444	1631	2034
445	1635	2031
446	1638	2027
447	1642	2024
448	1646	2020
449	1649	2016
450	1653	2012
451	1656	2008
452	1660	2005
453	1664	2001
454	1668	1998
455	1671	1994
456	1675	1991
457	1679	1987
458	1683	1984
459	1686	1980
460	1690	1976
461	1694	1972
462	1698	1969
463	1701	1966
464	1705	1962
465	1709	1958
466	1712	1954
467	1716	1950
468	1719	1947
469	1723	1943
470	1726	1939
471	1730	1935
472	1734	1932
473	1737	1928
474	1741	1924
475	1745	1921
476	1748	1917
477	1753	1914
478	1757	1911
479	1762	1908
480	1766	1905
481	1769	1901
482	1773	1898
483	1776	1894
484	1780	1890
485	1784	1887
486	1787	1883
487	1791	1879
488	1794	1875
489	1798	1871
490	1802	1868
491	1806	1864
492	1809	1861
493	1813	1857
494	1816	1853
495	1820	1849
496	1824	1846
497	1827	1842
498	1831	1838
499	1835	1835
500	1838	1831
501	1842	1827
502	1846	1824
503	1849	1819
504	1853	1816
505	1856	1812
506	1860	1809
507	1863	1805
508	1867	1801
509	1871	1798
510	1875	1795
511	1879	1791
512	1883	1788
513	1887	1784
514	1891	1781
515	1894	1777
516	1899	1774
517	1902	1770
518	1905	1766
519	1909	1762
520	1913	1759
521	1917	1755
522	1921	1752
523	1924	1748
524	1928	1744
525	1932	1741
526	1936	1737
527	1940	1734
528	1943	1730
529	1947	1726
530	1950	1723
531	1954	1719
532	1957	1715
533	1960	1711
534	1964	1707
535	1968	1703
536	1971	1699
537	1975	1696
538	1979	1692
539	1982	1689
540	1986	1685
541	1991	1682
542	1995	1679
543	1999	1675
544	2002	1671
545	2006	1668
546	2010	1664
547	2014	1661
548	2017	1657
549	2021	1654
550	2025	1650
551	2029	1646
552	2032	1642
553	2035	1639
554	2039	1635
555	2043	1631
556	2046	1627
557	2049	1623
558	2053	1619
559	2056	1615
560	2060	1612
561	2063	1608
562	2067	1604
563	2071	1601
564	2075	1597
565	2079	1594
566	2083	1590
567	2086	1587
568	2091	1583
569	2094	1580
570	2098	1576
571	2102	1573
572	2107	1570
573	2110	1566
574	2115	1563
575	2118	1559
576	2122	1556
577	2126	1552
578	2130	1548
579	2133	1544
580	2137	1541
581	2140	1537
582	2144	1534
583	2147	1529
584	2151	1526
585	2155	1522
586	2159	1519
587	2162	1515
588	2166	1511
589	2170	1508
590	2174	1505
591	2178	1501
592	2181	1497
593	2185	1493
594	2189	1490
595	2192	1486
596	2196	1482
597	2200	1479
598	2204	1475
599	2207	1471
600	2211	1467
601	2215	1464
602	2219	1460
603	2223	1457
604	2226	1453
605	2230	1450
606	2233	1446
607	2237	1442
608	2241	1438
609	2245	1435
610	2248	1431
611	2252	1428
612	2256	1424
613	2260	1421
614	2263	1417
615	2267	1413
616	2271	1409
617	2274	1406
618	2278	1402
619	2282	1398
620	2285	1395
621	2288	1390
622	2292	1387
623	2295	1383
624	2300	1380
625	2303	1376
626	2308	1373
627	2311	1369
628	2315	1365
629	2318	1361
630	2322	1358
631	2326	1354
632	2330	1351
633	2333	1347
634	2338	1344
635	2341	1340
636	2346	1337
637	2350	1333
638	2354	1330
639	2357	1326
640	2362	1323
641	2365	1319
642	2370	1315
643	2373	1312
644	2377	1308
645	2381	1304
646	2384	1301
647	2388	1297
648	2392	1293
649	2395	1289
650	2399	1286
651	2402	1282
652	2406	1278
653	2410	1275
654	2414	1271
655	2417	1267
656	2421	1264
657	2425	1260
658	2429	1257
659	2432	1253
660	2436	1249
661	2440	1245
662	2444	1242
663	2448	1238
664	2452	1235
665	2455	1231
666	2459	1227
667	2462	1223
668	2466	1220
669	2469	1216
670	2474	1213
671	2477	1209
672	2481	1205
673	2485	1201
674	2488	1198
675	2492	1194
676	2496	1190
677	2499	1187
678	2503	1183
679	2506	1179
680	2510	1175
681	2514	1172
682	2517	1168
683	2521	1164
684	2524	1161
685	2528	1157
686	2531	1153
687	2536	1150
688	2540	1146
689	2544	1143
690	2547	1139
691	2551	1135
692	2554	1131
693	2558	1127
694	2561	1124
695	2565	1120
696	2569	1116
697	2572	1113
698	2576	1109
699	2580	1105
700	2584	1102
701	2587	1098
702	2592	1095
703	2595	1091
704	2599	1087
705	2602	1083
706	2606	1080
707	2610	1076
708	2614	1073
709	2618	1069
710	2621	1065
711	2625	1062
712	2629	1058
713	2632	1054
714	2636	1051
715	2640	1047
716	2644	1043
717	2647	1039
718	2651	1036
719	2655	1032
720	2659	1029
721	2662	1025
722	2666	1021
723	2669	1017
724	2673	1014
725	2677	1010
726	2682	1007
727	2686	1003
728	2690	1000
729	2698	997
730	2701	994
731	2705	990
732	2709	986
733	2713	983
734	2716	979
735	2720	975
736	2724	972
737	2728	968
738	2732	965
739	2737	961
740	2740	957
741	2745	954
742	2750	951
743	2754	947
744	2758	944
745	2762	940
746	2765	936
747	2769	933
748	2773	929
749	2777	925
750	2782	922
751	2786	918
752	2790	915
753	2793	911
754	2797	907
755	2801	904
756	2805	900
757	2808	896
758	2812	893
759	2816	889
760	2820	885
761	2824	882
762	2827	878
763	2831	874
764	2835	870
765	2839	867
766	2843	863
767	2847	860
768	2851	856
769	2854	852
770	2858	848
771	2861	845
772	2865	841
773	2869	837
774	2872	833
775	2875	830
776	2879	826
777	2882	822
778	2886	818
779	2890	815
780	2893	811
781	2898	807
782	2901	804
783	2905	800
784	2908	796
785	2912	793
786	2916	789
787	2920	785
788	2923	781
789	2927	778
790	2931	774
791	2936	771
792	2939	767
793	2943	763
794	2947	759
795	2950	756
796	2954	752
797	2958	748
798	2962	745
799	2967	741
800	2971	738
801	2974	734
802	2978	730
803	2982	727
804	2985	723
805	2989	719
806	2992	715
807	2996	712
808	3000	708
809	3003	704
810	3007	700
811	3011	697
812	3015	693
813	3018	689
814	3021	685
815	3025	682
816	3029	678
817	3032	674
818	3036	670
819	3039	667
820	3043	663
821	3047	659
822	3050	656
823	3054	652
824	3057	648
825	3061	644
826	3065	641
827	3069	637
828	3073	634
829	3077	630
830	3081	626
831	3084	622
832	3088	619
833	3091	615
834	3094	611
835	3098	607
836	3102	604
837	3105	600
838	3109	596
839	3113	593
840	3117	589
841	3120	585
842	3124	581
843	3128	578
844	3132	574
845	3136	570
846	3139	567
847	3143	563
848	3146	559
849	3150	555
850	3153	552
851	3157	548
852	3161	544
853	3164	540
854	3168	537
855	3172	533
856	3176	530
857	3179	526
858	3183	522
859	3186	518
860	3190	515
861	3194	511
862	3198	507
863	3202	504
864	3206	500
865	3209	496
866	3213	492
867	3216	489
868	3219	485
869	3222	481
870	3226	477
871	3230	474
872	3233	470
873	3237	466
874	3241	463
875	3244	459
876	3248	455
877	3252	451
878	3255	448
879	3259	444
880	3263	440
881	3267	437
882	3271	433
883	3274	429
884	3277	425
885	3280	422
886	3283	418
887	3286	414
888	3289	410
889	3292	406
890	3295	403
891	3299	399
892	3302	395
893	3306	392
894	3310	388
895	3313	384
896	3316	380
897	3320	377
898	3323	373
899	3326	369
900	3330	365
901	3334	362
902	3337	358
903	3341	354
904	3344	351
905	3347	347
906	3351	343
907	3354	339
908	3358	336
909	3361	332
910	3365	328
911	3368	325
912	3372	321
913	3375	317
914	3379	313
915	3382	310
916	3386	306
917	3389	302
918	3393	299
919	3397	295
920	3401	291
921	3404	288
922	3408	284
923	3412	280
924	3415	276
925	3419	273
926	3423	269
927	3426	265
928	3430	262
929	3434	258
930	3437	254
931	3440	251
932	3444	247
933	3447	243
934	3451	239
935	3454	236
936	3458	232
937	3461	228
938	3464	225
939	3468	221
940	3471	217
941	3474	213
942	3478	210
943	3481	206
944	3485	202
945	3489	199
946	3492	195
947	3495	191
948	3499	188
949	3502	184
950	3506	180
951	3510	176
952	3513	173
953	3517	169
954	3521	165
955	3524	162
956	3528	158
957	3533	154
958	3536	151
959	3540	147
960	3544	143
961	3548	140
962	3551	136
963	3555	132
964	3559	129
965	3563	125
966	3567	121
967	3570	118
968	3574	114
969	3577	110
970	3581	106
971	3585	103
972	3588	99
973	3593	95
974	3596	92
975	3600	88
976	3604	84
977	3608	81
978	3612	77
979	3616	73
980	3620	70
981	3624	66
982	3627	62
983	3631	59
984	3635	55
985	3639	51
986	3643	47
987	3646	44
988	3650	40
989	3653	36
990	3657	33
991	3661	29
992	3664	25
993	3668	22
994	3672	18
995	3676	14
996	3679	11
997	3683	7
998	3687	3
999	3690	0
