iter	RMSE
177	23.39399302
178	23.29402799
179	23.20276967
180	23.15243086
181	23.05613894
182	22.99097152
183	22.89029219
184	22.79099128
185	22.71530133
186	22.66219181
187	22.57267403
188	22.49995364
189	22.46147293
190	22.40637251
191	22.32327272
192	22.24798479
193	22.16605182
194	22.08093578
195	22.01386688
196	21.96754953
197	21.88449269
198	21.81536136
199	21.75572386
200	21.71491837
201	21.661979
202	21.60820836
203	21.53988766
204	21.47037297
205	21.40845057
206	21.34497725
207	21.2796263
208	21.2131557
209	21.15962414
210	21.05833542
211	21.00854417
212	20.97542023
213	20.90438312
214	20.83520432
215	20.78494628
216	20.72918266
217	20.67044667
218	20.59993716
219	20.55267663
220	20.5020576
221	20.4606743
222	20.42762039
223	20.38121739
224	20.33962595
225	20.27466788
226	20.21511857
227	20.18186035
228	20.1302798
229	20.07898218
230	20.02781178
231	19.98052371
232	19.93591323
233	19.90676771
234	19.84735527
235	19.78231113
236	19.74747604
237	19.69211903
238	19.64963819
239	19.59075916
240	19.54348286
241	19.49106955
242	19.41217801
243	19.36776008
244	19.26586322
245	19.21472413
246	19.16612599
247	19.13442252
248	19.07305073
249	19.01552001
250	18.98114041
251	18.94558884
252	18.89253125
253	18.84002522
254	18.78245983
255	18.71115009
256	18.6704334
257	18.63399842
258	18.60052969
259	18.51502083
260	18.46993
261	18.42853467
262	18.38481408
263	18.33779646
264	18.29981034
265	18.25243459
266	18.22525276
267	18.17873512
268	18.13504776
269	18.08597701
270	18.06272133
271	18.02417005
272	17.97782613
273	17.90612731
274	17.85527604
275	17.82521382
276	17.78462667
277	17.71840504
278	17.68156058
279	17.64950158
280	17.59639037
281	17.54829812
282	17.50470851
283	17.48299969
284	17.44898379
285	17.40446201
286	17.36630769
287	17.30633614
288	17.26962652
289	17.20934046
290	17.17336547
291	17.11803439
292	17.07874022
293	17.05574948
294	17.01132412
295	16.96101996
296	16.94070791
297	16.90118191
298	16.87050579
299	16.81499541
300	16.77367431
301	16.74664176
302	16.71617536
303	16.66534217
304	16.63452496
305	16.59403167
306	16.5617587
307	16.54233741
308	16.51935773
309	16.46803385
310	16.42733535
311	16.37753698
312	16.34126398
313	16.30259942
314	16.27215014
315	16.23161691
316	16.20246486
317	16.15940952
318	16.12882901
319	16.11110924
320	16.08779708
321	16.0477302
322	16.03066897
323	16.00545506
324	15.95961924
325	15.91334959
326	15.87316873
327	15.84324509
328	15.80594235
329	15.77889496
330	15.75447384
331	15.71594444
332	15.66479449
333	15.63468611
334	15.61426213
335	15.58392774
336	15.55061705
337	15.51431244
338	15.47825838
339	15.4372237
340	15.39551024
341	15.35129902
342	15.32013999
343	15.29593139
344	15.26792023
345	15.23421035
346	15.20473268
347	15.17557223
348	15.1541806
349	15.12416768
350	15.10792437
351	15.08333911
352	15.05375016
353	15.03151369
354	14.99710612
355	14.96863113
356	14.94444244
357	14.92283235
358	14.88515321
359	14.85583594
360	14.84474275
361	14.81884742
362	14.78754646
363	14.7629964
364	14.73887819
365	14.71723707
366	14.69055721
367	14.67527407
368	14.63210752
369	14.59785357
370	14.56315219
371	14.53027526
372	14.50506946
373	14.48306384
374	14.47012489
375	14.45599677
376	14.41415884
377	14.38754611
378	14.36393232
379	14.33769356
380	14.31005557
381	14.28651306
382	14.26072471
383	14.24236287
384	14.2107124
385	14.19026726
386	14.15888621
387	14.12870886
388	14.10624217
389	14.08344438
390	14.0510531
391	14.01638958
392	13.988365
393	13.9724103
394	13.94450484
395	13.90084759
396	13.8820747
397	13.86726745
398	13.85814204
399	13.82404601
400	13.79394302
401	13.76948507
402	13.76183834
403	13.73777299
404	13.71727284
405	13.69293832
406	13.67268216
407	13.65517499
408	13.62722097
409	13.60700425
410	13.5860093
411	13.55979678
412	13.53259273
413	13.50295203
414	13.47620198
415	13.43670714
416	13.41173451
417	13.39148869
418	13.36694409
419	13.34360696
420	13.3211657
421	13.30144467
422	13.27558748
423	13.24601844
424	13.22523204
425	13.20233919
426	13.17053817
427	13.14620351
428	13.13512201
429	13.11998244
430	13.10903344
431	13.08982706
432	13.06319357
433	13.04293812
434	13.02618125
435	13.0119524
436	12.99421865
437	12.96860248
438	12.94927351
439	12.92402966
440	12.90591198
441	12.88132484
442	12.84785918
443	12.82792541
444	12.80319027
445	12.78610033
446	12.76644403
447	12.74750689
448	12.71927001
449	12.69914253
450	12.68413163
451	12.67806035
452	12.65306523
453	12.62854902
454	12.61035036
455	12.59118239
456	12.5709679
457	12.54591261
458	12.53210569
459	12.51998659
460	12.49913653
461	12.47957628
462	12.46067423
463	12.44747032
464	12.42244721
465	12.40371905
466	12.3985002
467	12.37307182
468	12.35101091
469	12.325336
470	12.30405111
471	12.28178016
472	12.25149014
473	12.23802573
474	12.2074511
475	12.19342283
476	12.17916642
477	12.16222569
478	12.14632515
479	12.1247646
480	12.10415672
481	12.08162662
482	12.0497708
483	12.03135711
484	12.01017848
485	11.99223059
486	11.97710548
487	11.94516113
488	11.93002979
489	11.90621919
490	11.88986421
491	11.87695522
492	11.86224311
493	11.84277882
494	11.82601707
495	11.80839174
496	11.78651389
497	11.76918883
498	11.75075209
499	11.73341185
500	11.71711645
501	11.70649916
502	11.67934609
503	11.65810649
504	11.63979206
505	11.61694427
506	11.59397775
507	11.57866558
508	11.5652708
509	11.54656126
510	11.52838379
511	11.51135055
512	11.49885915
513	11.48797152
514	11.47485096
515	11.46142437
516	11.44521228
517	11.44043649
518	11.42859966
519	11.40659692
520	11.38603229
521	11.38128651
522	11.36411455
523	11.35631823
524	11.33818255
525	11.31894169
526	11.30071869
527	11.28522788
528	11.26667597
529	11.25022073
530	11.2333327
531	11.21531984
532	11.18884431
533	11.17203699
534	11.15756872
535	11.13742083
536	11.11927524
537	11.10557699
538	11.08829438
539	11.07882802
540	11.06330821
541	11.04957934
542	11.03435709
543	11.01628818
544	10.99604556
545	10.98030389
546	10.95441691
547	10.93805687
548	10.92325575
549	10.90611605
550	10.89443914
551	10.87452957
552	10.86072651
553	10.84544667
554	10.82980966
555	10.81692959
556	10.80649411
557	10.79883427
558	10.78139795
559	10.76071141
560	10.74231649
561	10.72987268
562	10.71301897
563	10.69374325
564	10.67821816
565	10.66602479
566	10.65067202
567	10.63681194
568	10.62356585
569	10.61028551
570	10.59831168
571	10.58778895
572	10.57388051
573	10.56133034
574	10.54756645
575	10.53775409
576	10.51485258
577	10.49908343
578	10.48866025
579	10.46933719
580	10.45700591
581	10.43962664
582	10.4281326
583	10.4108725
584	10.39220561
585	10.37641759
586	10.3638006
587	10.3478694
588	10.33393839
589	10.31998862
590	10.3091213
591	10.29997641
592	10.28749447
593	10.27386693
594	10.26239649
595	10.24370214
596	10.22642596
597	10.20822547
598	10.19502866
599	10.17479735
600	10.16426306
601	10.14664142
602	10.13201652
603	10.12211044
604	10.1127481
605	10.10203852
606	10.09007954
607	10.08486387
608	10.07083489
609	10.05251548
610	10.03462398
611	10.02066331
612	10.00860954
613	9.995348126
614	9.982247494
615	9.966407678
616	9.951926548
617	9.933638218
618	9.921432793
619	9.904154129
620	9.892842688
621	9.88804706
622	9.88014186
623	9.865164592
624	9.85828651
625	9.839623831
626	9.827389146
627	9.817467331
628	9.803382293
629	9.792706042
630	9.780536679
631	9.773369135
632	9.756548884
633	9.74161234
634	9.732182951
635	9.718922374
636	9.709712497
637	9.696247094
638	9.685209505
639	9.677085361
640	9.663745721
641	9.651431055
642	9.631242416
643	9.620725
644	9.606670474
645	9.597015438
646	9.585213789
647	9.574344559
648	9.563228515
649	9.552130344
650	9.538866866
651	9.527706691
652	9.51098729
653	9.500159248
654	9.48597413
655	9.47729883
656	9.466085861
657	9.452474129
658	9.438783176
659	9.429283956
660	9.415484623
661	9.405215085
662	9.391108755
663	9.380622377
664	9.373329551
665	9.362139669
666	9.353343568
667	9.344006915
668	9.334651001
669	9.326773511
670	9.308706091
671	9.301023615
672	9.290934143
673	9.276973651
674	9.265951661
675	9.254998095
676	9.243632723
677	9.23682958
678	9.22968711
679	9.220752217
680	9.208404085
681	9.197577098
682	9.184262289
683	9.172237625
684	9.161091548
685	9.151713176
686	9.145323568
687	9.132744871
688	9.11723666
689	9.105806121
690	9.092233463
691	9.081388894
692	9.070983278
693	9.059376543
694	9.045268773
695	9.033476873
696	9.025954825
697	9.01428694
698	9.001265415
699	8.989585457
700	8.983514861
701	8.970407958
702	8.960808465
703	8.947907535
704	8.939876561
705	8.931529532
706	8.918399216
707	8.907222945
708	8.894050886
709	8.880792918
710	8.86871076
711	8.861129735
712	8.851794796
713	8.840349455
714	8.828384169
715	8.81864065
716	8.805658598
717	8.797737158
718	8.788060607
719	8.776290044
720	8.761017337
721	8.757082953
722	8.750396087
723	8.740433566
724	8.729272821
725	8.720295404
726	8.710753714
727	8.702258144
728	8.692728621
729	8.682579686
730	8.674630573
731	8.664259333
732	8.649983399
733	8.638970431
734	8.630244318
735	8.623069103
736	8.613223149
737	8.607350703
738	8.596088039
739	8.587791943
740	8.576521775
741	8.563844603
742	8.555258687
743	8.545836948
744	8.534955292
745	8.524033705
746	8.515237775
747	8.507598522
748	8.498149047
749	8.485028712
750	8.47487088
751	8.466092585
752	8.453441288
753	8.443379385
754	8.438576024
755	8.429964133
756	8.418580313
757	8.407518177
758	8.39561854
759	8.386040644
760	8.376732377
761	8.368424274
762	8.358108131
763	8.348580802
764	8.338394076
765	8.325553099
766	8.315533995
767	8.307413695
768	8.296691821
769	8.291288054
770	8.283388525
771	8.273348612
772	8.266313608
773	8.256204106
774	8.250086894
775	8.240485744
776	8.232440586
777	8.225934042
778	8.215679297
779	8.209171801
780	8.201059718
781	8.18925764
782	8.181819467
783	8.174094751
784	8.163926486
785	8.152879467
786	8.145169544
787	8.13525898
788	8.127898027
789	8.117939748
790	8.107976492
791	8.094792625
792	8.0890777
793	8.081217408
794	8.072961252
795	8.06754555
796	8.057273075
797	8.047748459
798	8.040450195
799	8.030712146
800	8.021563939
801	8.012261148
802	8.002561234
803	7.993317329
804	7.987420528
805	7.978819076
806	7.969876659
807	7.961044835
808	7.952888129
809	7.947665328
810	7.940005312
811	7.931646282
812	7.92268216
813	7.91526775
814	7.905790473
815	7.896090477
816	7.891035917
817	7.883858435
818	7.877093997
819	7.870611982
820	7.861225253
821	7.855842942
822	7.847457308
823	7.843313065
824	7.8330239
825	7.822936156
826	7.814973379
827	7.809697893
828	7.80256414
829	7.798325933
830	7.791106289
831	7.7839473
832	7.775980419
833	7.768913344
834	7.758426057
835	7.748770744
836	7.736712112
837	7.733455901
838	7.724183956
839	7.713842609
840	7.705795349
841	7.700966564
842	7.694615575
843	7.691361054
844	7.683419762
845	7.671916275
846	7.663538807
847	7.657316781
848	7.651896329
849	7.642621801
850	7.639641037
851	7.635290575
852	7.632781033
853	7.627485395
854	7.618609805
855	7.613577169
856	7.606352392
857	7.599288736
858	7.594441696
859	7.586220347
860	7.579015839
861	7.573370119
862	7.565609807
863	7.560341783
864	7.553719154
865	7.545399797
866	7.536322429
867	7.530091713
868	7.524976918
869	7.51782838
870	7.510218907
871	7.50317558
872	7.495208588
873	7.4841973
874	7.478766924
875	7.468820652
876	7.46377411
877	7.453818803
878	7.445815094
879	7.441820997
880	7.432992123
881	7.42553146
882	7.416919507
883	7.40927597
884	7.402207662
885	7.394408613
886	7.390449926
887	7.383717156
888	7.376476648
889	7.370397729
890	7.363441034
891	7.357002765
892	7.351399007
893	7.343469928
894	7.338219717
895	7.332045131
896	7.32445784
897	7.316940776
898	7.313379628
899	7.307137582
900	7.30140355
901	7.293556024
902	7.287055216
903	7.282246168
904	7.276464968
905	7.271667761
906	7.268493208
907	7.262621979
908	7.257907056
909	7.248989824
910	7.243449644
911	7.235193802
912	7.230225261
913	7.222253964
914	7.213824519
915	7.207184844
916	7.199110257
917	7.195018319
918	7.18777628
919	7.182800738
920	7.175206126
921	7.168736171
922	7.161863162
923	7.155847357
924	7.147640272
925	7.136421539
926	7.130329738
927	7.125845073
928	7.119941141
929	7.114900522
930	7.107936782
931	7.100078357
932	7.096661829
933	7.089568259
934	7.081652546
935	7.0742267
936	7.069262415
937	7.062927773
938	7.05627681
939	7.048096524
940	7.041832521
941	7.037848284
942	7.033491426
943	7.027897698
944	7.020890962
945	7.013626441
946	7.007343729
947	7.002490839
948	6.997784032
949	6.992020279
950	6.986585926
951	6.979015496
952	6.973749711
953	6.967689098
954	6.962480622
955	6.955084882
956	6.946567773
957	6.94050887
958	6.932588895
959	6.927931061
960	6.924761744
961	6.916793378
962	6.910191996
963	6.903083536
964	6.89781239
965	6.89354195
966	6.882944316
967	6.880551153
968	6.877158921
969	6.869759178
970	6.867273668
971	6.861241445
972	6.855040573
973	6.846560412
974	6.841678257
975	6.83533761
976	6.828147297
977	6.823214894
978	6.819497537
979	6.813183813
980	6.806923456
981	6.800180498
982	6.793259964
983	6.787976579
984	6.779264033
985	6.77389205
986	6.769015022
987	6.7657443
988	6.75827306
989	6.752231616
990	6.745264644
991	6.741970444
992	6.736801278
993	6.732790385
994	6.726860401
995	6.720780549
996	6.71594689
997	6.710719863
998	6.705737391
999	6.699229725
